Project_ID,Project_Name,Project_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,RFI_Count,Responded_Count,Avg_Response_Days,On_Time_Count,Overdue_Open_Count,High_Critical_Overdue_Count,Cost_Impacted_RFI_Count,Actual_RFI_Cost_Impact,Actual_RFI_Schedule_Days,Linked_RFI_Count,Change_Count,Approved_Change_Count,Pending_Change_Count,Approved_Change_Value,Pending_Change_Exposure,Avg_Approval_Cycle_Days,Old_Pending_Count,Avg_Forecast_Lag_Days,Approved_Not_Incorporated_Count,Linked_Change_Count,Event_Count,Handoff_Count,Revision_Loop_Count,Avg_Stage_Duration_Days,On_Time_Rate_Pct,Overdue_Open_Rate_Pct,High_Critical_Overdue_Rate_Pct,RFI_to_Change_Rate_Pct,Pending_Exposure_Pct_Budget,Approved_Change_Pct_Budget,Approved_Not_Incorporated_Rate_Pct,Response_Points,Overdue_Points,High_Critical_Overdue_Points,Approval_Points,Pending_Exposure_Points,Forecast_Lag_Points,Not_Incorporated_Points,Workflow_Risk_Score,Red_Indicator_Count,Yellow_Indicator_Count,Workflow_Health
PRJ-006,Summit Corporate Center,Commercial,Design-Build,Moderate,Moderate,Slow,106705000.0,40,33,11.484848484848484,15,7,3,8,326400.0,44,6,14,8,4,1606200.0,2836000.0,32.5,4,10.142857142857142,1,6,138,67,19,11.143095238095238,45.45,17.5,7.5,15.0,2.658,1.505,12.5,1,1,2,1,2,2,1,10,3,4,Red
PRJ-025,Canyon Transit-Oriented Development,Mixed-Use,IPD,Very High,Moderate,Slow,46069000.0,40,31,17.032258064516128,6,9,1,15,233800.0,8,6,16,9,5,1007900.0,1359000.0,51.0,5,6.222222222222222,0,7,148,74,22,15.656086956521738,19.35,22.5,2.5,15.0,2.95,2.188,0.0,2,1,1,2,2,1,0,9,3,3,Red
PRJ-075,Summit Urban Village,Mixed-Use,CMAR,Very High,Moderate,Slow,242388000.0,55,48,18.583333333333332,8,6,3,20,854500.0,68,14,27,16,3,14769000.0,3400000.0,43.625,2,7.214285714285714,2,14,224,120,33,17.250281690140845,16.67,10.91,5.45,25.45,1.403,6.093,12.5,2,0,2,2,1,1,1,9,3,3,Red
PRJ-051,Evergreen Apartments,Residential,CMAR,Very High,Moderate,Slow,135815000.0,62,52,21.096153846153847,4,10,4,25,826900.0,58,11,24,14,4,6354000.0,763000.0,45.857142857142854,4,9.142857142857142,0,14,229,116,35,17.557342657342655,7.69,16.13,6.45,17.74,0.562,4.678,0.0,2,1,2,2,1,1,0,9,3,3,Red
PRJ-013,Aspen Civic Complex 2,Institutional,Design-Build,Moderate,Moderate,Standard,216138000.0,45,38,10.394736842105264,17,7,3,10,228800.0,36,7,12,7,3,8982000.0,1114000.0,29.571428571428573,3,7.2,2,8,146,70,20,9.324606741573033,44.74,15.56,6.67,15.56,0.515,4.156,28.57,1,1,2,1,1,1,2,9,2,5,Red
PRJ-016,Evergreen Town Center,Mixed-Use,Design-Build,High,Moderate,Slow,191391000.0,43,40,17.025,8,3,1,15,599400.0,20,7,19,10,5,1496000.0,3511000.0,35.6,5,4.888888888888889,1,8,169,88,27,14.175887850467289,20.0,6.98,2.33,16.28,1.834,0.782,10.0,2,0,1,2,2,0,1,8,3,2,Red
PRJ-039,Silver Creek Urban Village 2,Mixed-Use,CMAR,Very High,High,Standard,80253000.0,40,39,12.307692307692308,17,1,1,6,184700.0,23,7,10,6,1,1157000.0,1124000.0,39.333333333333336,1,9.8,1,6,126,66,16,13.012368421052631,43.59,2.5,2.5,17.5,1.401,1.442,16.67,1,0,1,2,1,1,2,8,2,4,Red
PRJ-019,Pioneer Research Center,Institutional,Design-Build,Very High,Moderate,Standard,294523000.0,56,52,14.942307692307692,14,4,4,19,698200.0,52,9,23,15,7,18181000.0,3711000.0,35.8,7,6.642857142857143,1,10,202,109,21,14.189837398373983,26.92,7.14,7.14,16.07,1.26,6.173,6.67,1,0,2,2,1,1,1,8,2,4,Red
PRJ-017,Mountain Gate Transit Center,Heavy Civil & Infrastructure,Design-Bid-Build,Very High,Moderate,Slow,137983000.0,61,51,19.03921568627451,8,10,2,22,892600.0,69,11,18,10,4,871000.0,1146000.0,33.2,4,6.444444444444445,1,10,203,99,27,14.617983870967741,15.69,16.39,3.28,18.03,0.831,0.631,10.0,2,1,1,1,1,1,1,8,1,6,Red
PRJ-021,Desert View Processing Plant,Industrial,Design-Bid-Build,High,Low,Slow,105525000.0,34,33,18.0,7,1,1,5,100400.0,33,7,14,11,2,1870000.0,181000.0,36.45454545454545,2,11.0,1,7,122,68,12,16.38108108108108,21.21,2.94,2.94,20.59,0.172,1.772,9.09,2,0,1,2,0,2,1,8,3,2,Red
