Alert_Type,Severity,Project_ID,Item_ID,Project_Name,Condition,Current_Value,Threshold,Owner_Role,Required_Action
Field-Impact Overdue RFI,Critical,PRJ-002,RFI-00047,,Open field-impact RFI overdue by 775 days,775,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-002,RFI-00066,,Open field-impact RFI overdue by 811 days,811,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-002,RFI-00072,,Open field-impact RFI overdue by 1093 days,1093,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00047,,High RFI overdue by 775 days,775,7,Design Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00066,,High RFI overdue by 811 days,811,7,Owner Representative,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00072,,High RFI overdue by 1093 days,1093,7,Architect,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00074,,Critical RFI overdue by 853 days,853,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00077,,Critical RFI overdue by 558 days,558,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-002,RFI-00088,,Critical RFI overdue by 837 days,837,7,Design Manager,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-002,PRJ-002,Northstar Bridge Rehabilitation,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-003,RFI-00111,,Open field-impact RFI overdue by 1377 days,1377,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-003,RFI-00107,,High RFI overdue by 1095 days,1095,7,Architect,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-004,RFI-00126,,Open field-impact RFI overdue by 423 days,423,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-004,RFI-00143,,High RFI overdue by 155 days,155,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-006,RFI-00189,,Open field-impact RFI overdue by 1205 days,1205,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-006,PRJ-006,Summit Corporate Center,Pending exposure is 2.66% of project budget,2.658,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-006,RFI-00183,,High RFI overdue by 1270 days,1270,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-006,RFI-00189,,High RFI overdue by 1205 days,1205,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-006,RFI-00206,,Critical RFI overdue by 1123 days,1123,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-006,PRJ-006,Summit Corporate Center,Workflow risk score 10 (Red),10,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-007,RFI-00222,,Open field-impact RFI overdue by 7 days,7,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-008,RFI-00287,,Open field-impact RFI overdue by 802 days,802,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-008,RFI-00295,,Open field-impact RFI overdue by 944 days,944,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-008,RFI-00305,,Open field-impact RFI overdue by 1430 days,1430,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-008,RFI-00287,,High RFI overdue by 802 days,802,7,Engineer,Obtain the response or escalate the required decision immediately.
