RFI_ID,Project_ID,RFI_Number,RFI_Title,Discipline,Priority,RFI_Type,Submitted_Date,Required_Response_Date,First_Response_Date,Final_Response_Date,Closed_Date,RFI_Status,Submitted_By_Role,Responsible_Role,Revision_Count,Reopen_Count,Cost_Impact_Flag,Estimated_Cost_Impact,Actual_Cost_Impact,Schedule_Impact_Flag,Estimated_Schedule_Days,Actual_Schedule_Days,Field_Work_Affected,Drawing_Reference_Count,Response_Quality_Rating
RFI-00001,PRJ-001,RFI-0001,Architectural Substitution Request - Area A2,Architectural,Medium,Substitution Request,2024-08-18,2024-08-27,2024-08-25,2024-08-28,2024-08-31,Closed,Subcontractor,Architect,1,0,No,0,0,No,0,0,No,1,4
RFI-00002,PRJ-001,RFI-0002,Plumbing Missing Information - Area B10,Plumbing,Medium,Missing Information,2025-03-23,2025-04-04,2025-03-26,2025-03-26,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00003,PRJ-001,RFI-0003,General Field Condition - Area C6,General,Medium,Field Condition,2025-01-06,2025-01-15,2025-01-10,2025-01-10,2025-01-14,Closed,General Contractor,Construction Manager,0,0,No,0,0,No,0,0,No,3,4
RFI-00004,PRJ-001,RFI-0004,Structural Field Condition - Area E4,Structural,Medium,Field Condition,2024-09-18,2024-09-27,2024-10-06,2024-10-06,2024-10-06,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,3,4
RFI-00005,PRJ-001,RFI-0005,Fire Protection Coordination Conflict - Area E10,Fire Protection,Medium,Coordination Conflict,2024-05-14,2024-05-25,2024-05-24,2024-05-24,,Answered,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,3,5
RFI-00006,PRJ-001,RFI-0006,Electrical Design Clarification - Area A8,Electrical,Low,Design Clarification,2024-04-06,2024-04-20,2024-04-12,2024-04-12,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00007,PRJ-001,RFI-0007,Architectural Coordination Conflict - Area A6,Architectural,Medium,Coordination Conflict,2024-07-09,2024-07-20,2024-07-22,2024-07-22,2024-07-24,Closed,Subcontractor,Architect,0,1,No,0,0,No,0,0,No,4,5
RFI-00008,PRJ-001,RFI-0008,Architectural Missing Information - Area D3,Architectural,Medium,Missing Information,2024-08-01,2024-08-11,2024-08-09,2024-08-13,2024-08-16,Closed,General Contractor,Owner Representative,1,0,No,0,0,No,0,0,No,0,4
RFI-00009,PRJ-001,RFI-0009,Civil Field Condition - Area D12,Civil,High,Field Condition,2024-04-12,2024-04-17,2024-04-15,2024-04-15,,Answered,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,4,5
RFI-00010,PRJ-001,RFI-0010,Structural Design Clarification - Area C2,Structural,Medium,Design Clarification,2024-12-28,2025-01-09,2025-01-02,2025-01-02,2025-01-05,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,6,4
RFI-00011,PRJ-001,RFI-0011,General Design Clarification - Area D10,General,Medium,Design Clarification,2024-04-05,2024-04-16,2024-04-13,2024-04-13,,Answered,Subcontractor,Construction Manager,0,0,No,0,0,No,0,0,No,0,5
RFI-00012,PRJ-001,RFI-0012,Structural Missing Information - Area E8,Structural,Critical,Missing Information,2025-03-06,2025-03-11,2025-03-10,2025-03-10,2025-03-10,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,5,5
RFI-00013,PRJ-001,RFI-0013,Architectural Field Condition - Area D8,Architectural,Medium,Field Condition,2024-08-30,2024-09-11,2024-09-01,2024-09-01,2024-09-03,Closed,General Contractor,Owner Representative,0,0,No,0,0,Yes,11,7,Yes,3,5
RFI-00014,PRJ-001,RFI-0014,Electrical Constructability - Area C9,Electrical,Medium,Constructability,2025-03-23,2025-04-01,2025-04-01,2025-04-01,2025-04-01,Closed,Subcontractor,Engineer,0,0,No,0,0,No,0,0,No,1,5
RFI-00015,PRJ-001,RFI-0015,Architectural Missing Information - Area E9,Architectural,High,Missing Information,2025-03-05,2025-03-12,2025-03-09,2025-03-09,2025-03-09,Closed,Construction Manager,Owner Representative,0,0,No,0,0,No,0,0,No,2,5
RFI-00016,PRJ-001,RFI-0016,Electrical Design Clarification - Area B12,Electrical,High,Design Clarification,2024-10-23,2024-10-29,2024-10-31,2024-10-31,2024-11-03,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,2,5
RFI-00017,PRJ-001,RFI-0017,Plumbing Missing Information - Area D4,Plumbing,Medium,Missing Information,2024-06-30,2024-07-12,2024-07-05,2024-07-05,2024-07-08,Closed,General Contractor,Engineer,0,0,No,0,0,No,0,0,No,0,5
