Change_Order_ID,Project_ID,Change_Number,Change_Title,Change_Category,Initiating_Party,Discipline,Change_Type,Originating_Source,Identified_Date,Submitted_Date,Required_Decision_Date,First_Decision_Date,Approved_Date,Closed_Date,Change_Status,Submitted_Value,Negotiated_Value,Approved_Value,Requested_Schedule_Days,Approved_Schedule_Days,Revision_Count,Pricing_Status,Authorization_Type,Forecast_Incorporated_Date,Cost_Code_Group
CO-00001,PRJ-001,CO-001,Substitution - Mechanical Area B6,Substitution,Construction Manager,Mechanical,Additive,Field Condition,2024-12-28,2024-12-31,2025-01-20,2025-01-05,2025-01-08,2025-01-18,Approved,1173000,978000,978000,0,0,0,Final,Owner Authorization,2025-01-16,Sitework
CO-00002,PRJ-001,CO-002,Value Engineering - Structural Area B10,Value Engineering,Architect,Structural,Additive,Field Condition,2024-11-25,2024-11-29,2024-12-19,2024-12-05,2024-12-17,2024-12-24,Approved,766000,704000,705000,0,0,0,Final,Field Directive,,Interiors
CO-00003,PRJ-001,CO-003,Code or Regulatory Requirement - Specialty Systems Area D6,Code or Regulatory Requirement,Subcontractor,Specialty Systems,Additive,Design Revision,2025-01-05,2025-01-08,2025-01-28,2025-01-18,2025-01-26,2025-02-03,Approved,1242000,952000,964000,0,0,0,Final,Executed Change Order,2025-01-30,MEP
CO-00004,PRJ-001,CO-004,Value Engineering - Mechanical Area B8,Value Engineering,Construction Manager,Mechanical,Additive,Field Condition,2024-10-25,2024-10-30,2024-11-19,2024-11-07,2024-11-13,2024-11-19,Approved,597000,620000,599000,0,0,0,Final,Owner Authorization,2024-11-17,MEP
CO-00005,PRJ-001,CO-005,Scope Clarification - Architectural Area B3,Scope Clarification,Architect,Architectural,Deductive,Design Revision,2024-05-10,2024-05-17,2024-06-06,2024-05-25,,2024-06-14,Rejected,-1423000,-1192000,0,11,0,0,Final,None,,Interiors
CO-00006,PRJ-001,CO-006,Design Error or Omission - Structural Area A6,Design Error or Omission,Construction Manager,Structural,Additive,Design Revision,2024-04-28,2024-05-12,2024-06-01,2024-05-16,2024-05-19,2024-05-22,Approved,838000,738000,736000,0,0,0,Final,Construction Change Directive,,General Conditions
CO-00007,PRJ-001,CO-007,Owner-Directed Change - General Area C9,Owner-Directed Change,Construction Manager,General,Additive,Owner Request,2025-01-01,2025-01-07,2025-01-27,2025-01-16,2025-01-23,2025-02-02,Approved,2692000,2376000,2410000,3,1,1,Final,Executed Change Order,2025-02-07,Equipment
CO-00008,PRJ-001,CO-008,Quantity Variation - Electrical Area C9,Quantity Variation,Architect,Electrical,Additive,RFI,2025-02-08,2025-02-17,2025-03-09,2025-02-27,2025-03-10,2025-03-14,Approved,366000,339000,327000,0,0,1,Final,Owner Authorization,,Envelope
CO-00009,PRJ-001,CO-009,Schedule Acceleration - Plumbing Area C2,Schedule Acceleration,Subcontractor,Plumbing,Additive,Schedule Recovery,2025-02-02,2025-02-04,2025-02-24,2025-02-09,2025-02-17,2025-02-21,Approved,413000,325000,329000,0,0,0,Final,Executed Change Order,2025-03-01,Envelope
CO-00010,PRJ-001,CO-010,Value Engineering - Controls Area B4,Value Engineering,General Contractor,Controls,Zero-Cost,Schedule Recovery,2024-09-25,2024-09-28,2024-10-18,2024-10-07,,,Pending,0,0,,0,0,0,Negotiating,None,,MEP
CO-00011,PRJ-001,CO-011,Schedule Acceleration - Fire Protection Area B4,Schedule Acceleration,Construction Manager,Fire Protection,Additive,Schedule Recovery,2024-10-12,2024-10-15,2024-11-04,2024-10-22,2024-10-07,2024-11-08,Approved,1562000,1403000,1395000,0,0,0,Final,Owner Authorization,,Specialties
CO-00012,PRJ-001,CO-012,Design Error or Omission - Mechanical Area B4,Design Error or Omission,Engineer,Mechanical,Time Only,Design Revision,2024-11-21,2024-11-24,2024-12-14,2024-12-01,2024-12-08,2024-12-11,Approved,0,0,0,9,8,0,Final,Executed Change Order,2024-12-11,Sitework
CO-00013,PRJ-001,CO-013,Quantity Variation - General Area D10,Quantity Variation,Engineer,General,Additive,RFI,2024-09-28,2024-10-03,2024-10-23,2024-10-05,2024-10-07,2024-10-13,Approved,497000,418000,418000,0,0,0,Final,Executed Change Order,2024-10-11,General Conditions
CO-00014,PRJ-001,CO-014,Unforeseen Condition - Architectural Area A9,Unforeseen Condition,General Contractor,Architectural,Additive,RFI,2024-12-03,2024-12-11,2024-12-31,2024-12-17,2024-12-29,2025-01-08,Approved,2193000,2053000,2048000,33,34,1,Final,Field Directive,2024-12-31,General Conditions
CO-00015,PRJ-001,CO-015,Value Engineering - Structural Area D4,VE,Subcontractor,Structural,Deductive,RFI,2024-07-15,2024-07-17,2024-08-06,2024-07-19,2024-07-21,2024-07-23,Approved,-165000,-127000,-123000,0,0,0,Final,Executed Change Order,2024-07-22,General Conditions
CO-00016,PRJ-001,CO-016,Owner-Directed Change - Architectural Area B4,Owner-Directed Change,Owner,Architectural,Additive,Owner Request,2024-12-15,2024-12-21,2025-01-10,2024-12-25,2024-12-29,2025-01-04,Approved,298000,253000,248000,34,23,0,Final,Executed Change Order,2025-01-03,Interiors
CO-00017,PRJ-002,CO-001,Code or Regulatory Requirement - Specialty Systems Area C7,Code or Regulatory Requirement,Construction Manager,Specialty Systems,Additive,Design Revision,2024-06-04,2024-06-09,2024-06-29,2024-06-28,2024-07-24,2024-08-01,Approved,1028000,860000,864000,5,3,1,Final,Construction Change Directive,2024-07-31,Metals
