Link_ID,Project_ID,RFI_ID,Change_Order_ID,Link_Type,Link_Confidence,Relationship_Date,Relationship_Notes_Category
LNK-00001,PRJ-001,RFI-00025,CO-00004,Supporting Documentation,Medium,2024-10-25,Field condition documented by RFI
LNK-00002,PRJ-001,RFI-00009,CO-00006,Direct Cause,Medium,2024-04-28,Field condition documented by RFI
LNK-00003,PRJ-001,RFI-00016,CO-00008,Direct Cause,High,2025-02-08,Pricing support
LNK-00004,PRJ-001,RFI-00010,CO-00009,Related Scope,Medium,2025-02-02,Field condition documented by RFI
LNK-00005,PRJ-001,RFI-00007,CO-00013,Related Scope,Medium,2024-09-28,Related coordination issue
LNK-00006,PRJ-001,RFI-00021,CO-00014,Related Scope,Low,2024-12-03,Design clarification led to scope change
LNK-00007,PRJ-002,RFI-00037,CO-00018,Direct Cause,High,2023-04-04,Related coordination issue
LNK-00008,PRJ-002,RFI-00039,CO-00020,Supporting Documentation,Medium,2023-07-30,Pricing support
LNK-00009,PRJ-002,RFI-00043,CO-00022,Direct Cause,High,2023-10-11,Field condition documented by RFI
LNK-00010,PRJ-002,RFI-00058,CO-00023,Direct Cause,Medium,2023-02-16,Design clarification led to scope change
LNK-00011,PRJ-002,RFI-00076,CO-00024,Supporting Documentation,Medium,2022-06-29,Schedule support
LNK-00012,PRJ-002,RFI-00033,CO-00025,Direct Cause,High,2023-11-02,Design clarification led to scope change
LNK-00013,PRJ-002,RFI-00071,CO-00026,Direct Cause,High,2023-03-07,Pricing support
LNK-00014,PRJ-002,RFI-00063,CO-00027,Supporting Documentation,Medium,2022-08-04,Pricing support
LNK-00015,PRJ-002,RFI-00089,CO-00028,Direct Cause,High,2023-10-14,Pricing support
LNK-00016,PRJ-002,RFI-00078,CO-00030,Supporting Documentation,High,2022-03-18,Schedule support
LNK-00017,PRJ-003,RFI-00113,CO-00033,Direct Cause,High,2022-06-28,Design clarification led to scope change
LNK-00018,PRJ-003,RFI-00096,CO-00036,Related Scope,High,2023-05-31,Schedule support
LNK-00019,PRJ-003,RFI-00105,CO-00039,Supporting Documentation,High,2023-06-23,Pricing support
LNK-00020,PRJ-003,RFI-00116,CO-00040,Direct Cause,Medium,2023-08-04,Pricing support
LNK-00021,PRJ-003,RFI-00105,CO-00041,Direct Cause,Medium,2023-06-11,Related coordination issue
LNK-00022,PRJ-004,RFI-00129,CO-00042,Related Scope,Low,2025-11-16,Design clarification led to scope change
LNK-00023,PRJ-004,RFI-00146,CO-00043,Supporting Documentation,Low,2025-03-22,Pricing support
LNK-00024,PRJ-004,RFI-00130,CO-00044,Potential Relationship,High,2025-06-10,Design clarification led to scope change
LNK-00025,PRJ-004,RFI-00151,CO-00045,Related Scope,High,2024-10-19,Schedule support
LNK-00026,PRJ-004,RFI-00138,CO-00048,Direct Cause,High,2024-06-15,Pricing support
LNK-00027,PRJ-004,RFI-00127,CO-00050,Direct Cause,High,2025-01-11,Schedule support
LNK-00028,PRJ-005,RFI-00163,CO-00055,Supporting Documentation,Medium,2024-06-22,Field condition documented by RFI
LNK-00029,PRJ-005,RFI-00177,CO-00056,Related Scope,Medium,2023-10-20,Design clarification led to scope change
LNK-00030,PRJ-005,RFI-00175,CO-00057,Direct Cause,Medium,2024-07-23,Related coordination issue
LNK-00031,PRJ-005,RFI-00154,CO-00058,Direct Cause,High,2024-03-22,Design clarification led to scope change
LNK-00032,PRJ-005,RFI-00162,CO-00059,Direct Cause,High,2025-10-18,Schedule support
LNK-00033,PRJ-006,RFI-00194,CO-00063,Direct Cause,Low,2023-01-02,Field condition documented by RFI
LNK-00034,PRJ-006,RFI-00214,CO-00067,Direct Cause,Medium,2024-04-11,Design clarification led to scope change
LNK-00035,PRJ-006,RFI-00198,CO-00069,Related Scope,High,2022-04-03,Design clarification led to scope change
LNK-00036,PRJ-006,RFI-00216,CO-00071,Direct Cause,Medium,2024-09-04,Field condition documented by RFI
