Event_ID,Project_ID,Item_Type,Item_ID,Event_Sequence,Event_Timestamp,From_Status,To_Status,Action_By_Role,Assigned_To_Role,Event_Action,Revision_Number,Decision_Required_Flag,Comment_Category
EVT-000001,PRJ-001,RFI,RFI-00001,1,2024-08-18T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000002,PRJ-001,RFI,RFI-00001,2,2024-08-23T13:00,Submitted,Returned for Clarification,Architect,Subcontractor,Return,1,Yes,Insufficient information
EVT-000003,PRJ-001,RFI,RFI-00001,3,2024-08-28T15:00,Returned for Clarification,Closed,Architect,Subcontractor,Respond and close,1,No,Final response
EVT-000004,PRJ-001,RFI,RFI-00002,1,2025-03-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000005,PRJ-001,RFI,RFI-00002,2,2025-03-26T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000006,PRJ-001,RFI,RFI-00003,1,2025-01-06T08:00,,Submitted,General Contractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000007,PRJ-001,RFI,RFI-00003,2,2025-01-10T15:00,Submitted,Closed,Construction Manager,General Contractor,Respond and close,0,No,Final response
EVT-000008,PRJ-001,RFI,RFI-00004,1,2024-09-18T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000009,PRJ-001,RFI,RFI-00004,2,2024-10-06T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000010,PRJ-001,RFI,RFI-00005,1,2024-05-14T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000011,PRJ-001,RFI,RFI-00005,2,2024-05-24T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000012,PRJ-001,RFI,RFI-00006,1,2024-04-06T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000013,PRJ-001,RFI,RFI-00006,2,2024-04-12T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000014,PRJ-001,RFI,RFI-00007,1,2024-07-09T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000015,PRJ-001,RFI,RFI-00007,2,2024-07-22T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000016,PRJ-001,RFI,RFI-00008,1,2024-08-01T08:00,,Submitted,General Contractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000017,PRJ-001,RFI,RFI-00008,2,2024-08-04T13:00,Submitted,Returned for Clarification,Owner Representative,General Contractor,Return,1,Yes,Insufficient information
EVT-000018,PRJ-001,RFI,RFI-00008,3,2024-08-13T15:00,Returned for Clarification,Closed,Owner Representative,General Contractor,Respond and close,1,No,Final response
