Action_ID,Table,Record_ID,Field,Issue_Type,Raw_Value,Clean_Value,Action,Evidence,Disposition
ACT-0001,Projects,PRJ-018,Project_ID,Exact duplicate,PRJ-018,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0002,Projects,PRJ-072,Project_ID,Exact duplicate,PRJ-072,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0003,RFI Log,RFI-00935,RFI_ID,Exact duplicate,RFI-00935,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0004,RFI Log,RFI-02126,RFI_ID,Exact duplicate,RFI-02126,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0005,RFI Log,RFI-00342,RFI_ID,Exact duplicate,RFI-00342,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0006,RFI Log,RFI-02847,RFI_ID,Exact duplicate,RFI-02847,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0007,RFI Log,RFI-00640,RFI_ID,Exact duplicate,RFI-00640,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0008,RFI Log,RFI-02709,RFI_ID,Exact duplicate,RFI-02709,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0009,RFI Log,RFI-01029,RFI_ID,Exact duplicate,RFI-01029,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0010,RFI Log,RFI-02818,RFI_ID,Exact duplicate,RFI-02818,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0011,Change Orders,CO-00138,Change_Order_ID,Exact duplicate,CO-00138,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0012,Change Orders,CO-00874,Change_Order_ID,Exact duplicate,CO-00874,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0013,Change Orders,CO-00143,Change_Order_ID,Exact duplicate,CO-00143,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0014,Change Orders,CO-00101,Change_Order_ID,Exact duplicate,CO-00101,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0015,Change Orders,CO-00967,Change_Order_ID,Exact duplicate,CO-00967,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0016,Workflow Events,EVT-009812,Event_ID,Exact duplicate,EVT-009812,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0017,Workflow Events,EVT-010703,Event_ID,Exact duplicate,EVT-010703,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0018,Workflow Events,EVT-005325,Event_ID,Exact duplicate,EVT-005325,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0019,Workflow Events,EVT-008161,Event_ID,Exact duplicate,EVT-008161,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0020,Workflow Events,EVT-001450,Event_ID,Exact duplicate,EVT-001450,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0021,Workflow Events,EVT-000818,Event_ID,Exact duplicate,EVT-000818,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0022,Workflow Events,EVT-008370,Event_ID,Exact duplicate,EVT-008370,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0023,Workflow Events,EVT-003752,Event_ID,Exact duplicate,EVT-003752,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0024,Workflow Events,EVT-007524,Event_ID,Exact duplicate,EVT-007524,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0025,Workflow Events,EVT-004141,Event_ID,Exact duplicate,EVT-004141,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0026,RFI Change Links,LNK-00111,Link_ID,Exact duplicate,LNK-00111,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
ACT-0027,RFI Change Links,LNK-00119,Link_ID,Exact duplicate,LNK-00119,,Removed duplicate row,Exact duplicate primary key and identical row retained once,Removed
