Check_ID,Category,Description,Failed_Count,Status,Details
PK-01,Primary key,Projects Project_ID unique,0,Passed,
PK-02,Primary key,RFI_ID unique,0,Passed,
PK-03,Primary key,Change_Order_ID unique,0,Passed,
PK-04,Primary key,Event_ID unique,0,Passed,
PK-05,Primary key,Link_ID unique,0,Passed,
FK-01,Foreign key,RFI Project_ID exists,0,Passed,
FK-02,Foreign key,Change Project_ID exists,0,Passed,
FK-03,Foreign key,Event Project_ID exists,0,Passed,
FK-04,Foreign key,Link Project_ID exists,0,Passed,
FK-05,Foreign key,Link RFI_ID exists,0,Passed,
FK-06,Foreign key,Link Change_Order_ID exists,0,Passed,
FK-07,Foreign key,Workflow Item_ID exists in selected item table,0,Passed,
XR-01,Cross-record,Workflow Project_ID matches item parent,0,Passed,
XR-02,Cross-record,Link project agrees with RFI and change,0,Passed,
DT-01,Date,RFI date sequences valid,0,Passed,
ST-01,Completeness,Answered/Closed RFIs have required final dates,0,Passed,
DT-02,Date,Change-order date sequences valid,0,Passed,
ST-02,Completeness,Approved changes have approval date and value,0,Passed,
NM-01,Numeric,Impact values and ratings follow defined rules,0,Passed,
CV-01,Controlled values,Controlled categorical values standardized,0,Passed,
DT-03,Date,Workflow event sequences and timestamps are nondecreasing,0,Passed,
DT-04,Date,Workflow events do not exceed observed cutoff,0,Passed,
