Table,Issue_Type,Record_ID,Field,Detail,Expected_Process_Treatment
RFI Log,Categorical standardization,RFI-01375,Discipline,Variant of Structural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-00299,Discipline,Variant of Mechanical,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-02633,Discipline,Variant of Specialty Systems,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-01237,Discipline,Variant of Architectural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-01895,Discipline,Variant of Specialty Systems,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-02998,Discipline,Variant of Electrical,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-02131,Discipline,Variant of Structural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-00708,Discipline,Variant of Electrical,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-01849,Discipline,Variant of Structural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-03052,Discipline,Variant of Architectural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-01466,Discipline,Variant of Structural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-01416,Discipline,Variant of Mechanical,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-02873,Discipline,Variant of Mechanical,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-03197,Discipline,Variant of Specialty Systems,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-03170,Discipline,Variant of Architectural,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-00501,Discipline,Variant of Fire Protection,Standardize to controlled value.
RFI Log,Categorical standardization,RFI-00528,Discipline,Variant of Electrical,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00757,Change_Category,Variant of Unforeseen Condition,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00015,Change_Category,Variant of Value Engineering,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00801,Change_Category,Variant of Design Error or Omission,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00427,Change_Category,Variant of Code or Regulatory Requirement,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00395,Change_Category,Variant of Owner-Directed Change,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00432,Change_Category,Variant of Owner-Directed Change,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00646,Change_Category,Variant of Design Error or Omission,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00505,Change_Category,Variant of Value Engineering,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00452,Change_Category,Variant of Value Engineering,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00318,Change_Category,Variant of Design Error or Omission,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00144,Change_Category,Variant of Value Engineering,Standardize to controlled value.
Change Orders,Categorical standardization,CO-00434,Change_Category,Variant of Unforeseen Condition,Standardize to controlled value.
